fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza,mx1,my1,mx2,my2,texto_matricula
23,Car,0.8554099798202515,2,1307.9779052734375,365.41082763671875,1368.0792236328125,365.41082763671875,,,,,,,,
23,Car,0.37684524059295654,3,1228.9058837890625,345.970947265625,1264.328369140625,345.970947265625,,,,,,,,
24,Bus,0.926957368850708,1,1369.2386474609375,452.3568115234375,1873.408447265625,452.3568115234375,,,,,,,,
24,Car,0.8757393956184387,2,1307.544921875,364.4745788574219,1367.3388671875,364.4745788574219,,,,,,,,
24,Car,0.3200145661830902,3,1227.092529296875,346.63568115234375,1264.246826171875,346.63568115234375,,,,,,,,
25,Bus,0.8651784062385559,1,1369.099365234375,452.8951416015625,1842.788330078125,452.8951416015625,,,,,,,,
25,Car,0.8187656998634338,2,1307.6748046875,364.011474609375,1366.6290283203125,364.011474609375,,,,,,,,
25,Car,0.37618502974510193,3,1225.6334228515625,346.1882629394531,1264.464599609375,346.1882629394531,,,,,,,,
26,Bus,0.8735159635543823,1,1368.4534912109375,451.8216857910156,1796.1651611328125,451.8216857910156,,,,,,,,
26,Car,0.7976105213165283,2,1307.8809814453125,363.59222412109375,1365.459228515625,363.59222412109375,,,,,,,,
26,Car,0.4064319431781769,3,1224.4493408203125,345.7137451171875,1263.545654296875,345.7137451171875,,,,,,,,
27,Bus,0.9028238654136658,1,1367.0740966796875,449.9155578613281,1771.05419921875,449.9155578613281,,,,,,,,
27,Car,0.7809737920761108,2,1307.9317626953125,363.4333801269531,1364.3170166015625,363.4333801269531,,,,,,,,
27,Car,0.2961992025375366,3,1223.482666015625,345.0273132324219,1262.711669921875,345.0273132324219,,,,,,,,
28,Bus,0.9175723791122437,1,1364.9959716796875,447.010009765625,1752.606689453125,447.010009765625,,,,,,,,
28,Car,0.7241191267967224,2,1307.6864013671875,363.7826843261719,1363.172119140625,363.7826843261719,,,,,,,,
28,Car,0.3076663017272949,3,1222.8323974609375,344.6015930175781,1262.787353515625,344.6015930175781,,,,,,,,
29,Bus,0.884354293346405,1,1364.172607421875,445.5789489746094,1747.49658203125,445.5789489746094,,,,,,,,
29,Car,0.7021216154098511,2,1307.5067138671875,363.464111328125,1362.0775146484375,363.464111328125,,,,,,,,
29,Car,0.3991195261478424,3,1222.2845458984375,344.5075988769531,1262.797119140625,344.5075988769531,,,,,,,,
30,Bus,0.8916520476341248,1,1363.7403564453125,445.1588134765625,1739.814208984375,445.1588134765625,,,,,,,,
30,Car,0.6986993551254272,2,1307.101318359375,362.95458984375,1361.07373046875,362.95458984375,,,,,,,,
30,Car,0.36285361647605896,3,1222.7689208984375,344.2174377441406,1262.9423828125,344.2174377441406,,,,,,,,
31,Bus,0.932896614074707,1,1362.728515625,444.93780517578125,1732.817138671875,444.93780517578125,,,,,,,,
31,Car,0.6859933137893677,2,1305.968017578125,362.5860290527344,1359.53515625,362.5860290527344,,,,,,,,
31,Car,0.29845425486564636,3,1223.8094482421875,343.9619445800781,1263.4024658203125,343.9619445800781,,,,,,,,
32,Bus,0.7310121059417725,1,1362.7923583984375,445.189453125,1732.968017578125,445.189453125,,,,,,,,
32,Car,0.7054824233055115,2,1305.280029296875,362.0669860839844,1358.150146484375,362.0669860839844,,,,,,,,
32,Car,0.26425227522850037,3,1225.562255859375,343.881591796875,1264.4251708984375,343.881591796875,,,,,,,,
33,Bus,0.8926548361778259,1,1358.795654296875,443.3899230957031,1719.10400390625,443.3899230957031,,,,,,,,
33,Car,0.7382490038871765,2,1304.96875,361.9460144042969,1357.5360107421875,361.9460144042969,,,,,,,,
33,Car,0.2734526991844177,3,1226.6583251953125,344.0132141113281,1264.309814453125,344.0132141113281,,,,,,,,
34,Bus,0.8888161778450012,1,1353.74609375,442.264404296875,1710.43798828125,442.264404296875,,,,,,,,
34,Car,0.7279415130615234,2,1304.0123291015625,361.8663024902344,1357.37158203125,361.8663024902344,,,,,,,,
34,Car,0.29701605439186096,3,1227.1280517578125,344.2706298828125,1263.5184326171875,344.2706298828125,,,,,,,,
35,Bus,0.8866745233535767,1,1350.7852783203125,440.578369140625,1693.735595703125,440.578369140625,,,,,,,,
35,Car,0.6975387930870056,2,1303.468994140625,362.2034606933594,1356.9833984375,362.2034606933594,,,,,,,,
35,Car,0.23288315534591675,3,1226.5657958984375,344.53192138671875,1261.99267578125,344.53192138671875,,,,,,,,
36,Bus,0.8423119187355042,1,1352.623291015625,437.5612487792969,1686.982421875,437.5612487792969,,,,,,,,
36,Car,0.7508207559585571,2,1303.2310791015625,362.2630920410156,1356.6824951171875,362.2630920410156,,,,,,,,
36,Car,0.34502241015434265,3,1225.090087890625,345.1100769042969,1261.09814453125,345.1100769042969,,,,,,,,
37,Bus,0.9288076758384705,1,1352.818603515625,436.04193115234375,1675.8375244140625,436.04193115234375,,,,,,,,
37,Car,0.6804193258285522,2,1303.32421875,362.4812927246094,1355.3992919921875,362.4812927246094,,,,,,,,
37,Car,0.28210631012916565,3,1224.9429931640625,345.26971435546875,1261.7296142578125,345.26971435546875,,,,,,,,
38,Bus,0.94391930103302,1,1353.350341796875,434.3508605957031,1668.6973876953125,434.3508605957031,,,,,,,,
38,Car,0.6341488361358643,2,1303.6248779296875,362.48626708984375,1355.3143310546875,362.48626708984375,,,,,,,,
38,Car,0.25160861015319824,3,1225.3995361328125,345.21014404296875,1262.14990234375,345.21014404296875,,,,,,,,
39,Bus,0.953407347202301,1,1351.6380615234375,432.7726745605469,1663.4312744140625,432.7726745605469,,,,,,,,
39,Car,0.5349852442741394,2,1303.4996337890625,362.596923828125,1353.0738525390625,362.596923828125,,,,,,,,
39,Car,0.20476379990577698,3,1224.853271484375,345.47552490234375,1263.002685546875,345.47552490234375,,,,,,,,
40,Bus,0.9510483741760254,1,1350.453369140625,432.0831298828125,1657.65625,432.0831298828125,,,,,,,,
40,Car,0.5123925805091858,2,1303.175537109375,362.4869079589844,1351.75439453125,362.4869079589844,,,,,,,,
